metric	value
status	ok
reason_code	partial_upstream_evidence
candidate_evidence_status	ok
candidate_evidence_reason_code	
candidate_quantitative_evidence_status	ok
candidate_quantitative_evidence_reason_code	
candidate_rows_with_alt_allele_fraction	1
candidate_rows_with_depth	1
cosegregation_evidence_status	not_applicable
cosegregation_evidence_reason_code	
deletion_evidence_status	not_applicable
deletion_evidence_reason_code	
features_summarized	3
features_with_candidate_sites	1
features_with_deletion_cluster_overlap	
features_with_cosegregation_selected_sites	
candidate_site_rows	1
selected_coseg_positions_loaded	
deletion_event_intervals_loaded	
deletion_cluster_overlap_method	exact_member_event_intervals
deletion_cluster_member_intervals_loaded	
deletion_clusters_evaluable	
